"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","soil_moi"
"TIMESTAMP","RECORD","BattV_Min","VW_Avg"
"TS","RN","Volts",""
"","","Min","Avg"
"2018-07-31 06:00:00",426,12.78,"NAN"
"2018-07-31 07:00:00",427,12.77,"NAN"
"2018-07-31 08:00:00",428,12.86,"NAN"
"2018-07-31 09:00:00",429,13.35,"NAN"
"2018-07-31 10:00:00",430,14.34,"NAN"
"2018-07-31 11:00:00",431,14.29,"NAN"
"2018-07-31 12:00:00",432,14.25,"NAN"
"2018-07-31 13:00:00",433,14.21,"NAN"
"2018-07-31 14:00:00",434,14.18,"NAN"
"2018-07-31 15:00:00",435,14.18,"NAN"
"2018-07-31 16:00:00",436,13.08,"NAN"
"2018-07-31 17:00:00",437,14.45,"NAN"
"2018-07-31 18:00:00",438,12.98,"NAN"
"2018-07-31 19:00:00",439,12.93,"NAN"
"2018-07-31 20:00:00",440,12.93,"NAN"
"2018-07-31 21:00:00",441,12.9,"NAN"
"2018-07-31 22:00:00",442,12.87,"NAN"
"2018-07-31 23:00:00",443,12.85,"NAN"
"2018-08-01 00:00:00",444,12.85,"NAN"
"2018-08-01 01:00:00",445,12.84,"NAN"
"2018-08-01 02:00:00",446,12.81,"NAN"
"2018-08-01 03:00:00",447,12.81,"NAN"
"2018-08-01 04:00:00",448,12.81,"NAN"
"2018-08-01 05:00:00",449,12.78,"NAN"
"2018-08-01 06:00:00",450,12.77,"NAN"
"2018-08-01 07:00:00",451,12.77,"NAN"
"2018-08-01 08:00:00",452,12.78,"NAN"
"2018-08-01 09:00:00",453,12.86,"NAN"
"2018-08-01 10:00:00",454,13.02,"NAN"
"2018-08-01 11:00:00",455,14.42,"NAN"
"2018-08-01 12:00:00",456,14.42,"NAN"
"2018-08-01 13:00:00",457,14.37,"NAN"
"2018-08-01 14:00:00",458,14.34,"NAN"
"2018-08-01 15:00:00",459,14.35,"NAN"
"2018-08-01 16:00:00",460,14.36,"NAN"
"2018-08-01 17:00:00",461,14.34,"NAN"
"2018-08-01 18:00:00",462,14.38,"NAN"
"2018-08-01 19:00:00",463,14.41,"NAN"
"2018-08-01 20:00:00",464,14.19,"NAN"
"2018-08-01 21:00:00",465,12.93,"NAN"
"2018-08-01 22:00:00",466,12.89,"NAN"
"2018-08-01 23:00:00",467,12.86,"NAN"
"2018-08-02 00:00:00",468,12.85,"NAN"
"2018-08-02 01:00:00",469,12.85,"NAN"
"2018-08-02 02:00:00",470,12.83,"NAN"
"2018-08-02 03:00:00",471,12.81,"NAN"
"2018-08-02 04:00:00",472,12.81,"NAN"
"2018-08-02 05:00:00",473,12.81,"NAN"
"2018-08-02 06:00:00",474,12.78,"NAN"
"2018-08-02 07:00:00",475,12.77,"NAN"
"2018-08-02 08:00:00",476,12.82,"NAN"
"2018-08-02 09:00:00",477,13.06,"NAN"
"2018-08-02 10:00:00",478,14.46,"NAN"
"2018-08-02 11:00:00",479,14.41,"NAN"
"2018-08-02 12:00:00",480,14.38,"NAN"
"2018-08-02 13:00:00",481,14.37,"NAN"
"2018-08-02 14:00:00",482,14.37,"NAN"
"2018-08-02 15:00:00",483,14.34,"NAN"
"2018-08-02 16:00:00",484,14.34,"NAN"
